video_id,title_negative,title_neutral,title_positive,title_rate,tags_negative,tags_neutral,tags_positive,tags_rate
9kF9xY74h-E,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
9m9oO84Q2fk,28.000000000000004,32.300000000000004,39.800000000000004,Positive,3.1,56.00000000000001,40.9,Positive
9mwM1VB9qs0,0.0,100.0,0.0,Neutral,0.0,61.6,38.4,Positive
9o-gcCwMOgA,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
9o2FXVhjLyY,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
9oFP-pOMNwE,18.7,56.10000000000001,25.2,Positive,0.0,64.9,35.099999999999994,Positive
9oyKePWRi8Y,0.0,27.500000000000004,72.5,Positive,2.4,49.0,48.6,Positive
9pXLSjDkcEE,0.0,65.60000000000001,34.4,Positive,7.8,71.39999999999999,20.8,Positive
9pbCuFxRuqs,0.0,69.8,30.2,Positive,0.0,100.0,0.0,Neutral
9qRqfWJ6ONU,0.0,100.0,0.0,Neutral,5.7,53.2,41.199999999999996,Positive
9qlF_9PNhJs,0.0,100.0,0.0,Neutral,8.5,57.099999999999994,34.5,Positive
9r6NI9m_IxM,0.0,100.0,0.0,Neutral,0.0,72.2,27.800000000000004,Positive
9reizHjwuNY,0.0,65.3,34.699999999999996,Positive,0.0,87.9,12.1,Positive
9sRQQRiltrE,42.0,57.99999999999999,0.0,Negative,9.700000000000001,60.4,30.0,Positive
9sbnGfWaOwQ,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
9t9u_yPEidY,0.0,33.300000000000004,66.7,Positive,0.0,79.2,20.8,Positive
9udUUMxQNG0,0.0,100.0,0.0,Neutral,0.0,100.0,0.0,Neutral
9uez2DBg9Mg,0.0,81.5,18.5,Positive,0.0,96.7,3.3000000000000003,Positive
9vDdx1dba6c,44.4,55.60000000000001,0.0,Negative,28.599999999999998,71.39999999999999,0.0,Negative
